Codigo,Nome,Modelo,Fabricante,Cor,Tam
11,Tenis Casual,Masculino,Adidas,"Preto,Cinza","38,39,40,41"
12,Tenis Casual,Feminino,Nike,"Branco,Rosa","35,36,37,38"
13,Sapato Social,Masculino,Louis Vuitton,"Preto,Marrom","40,41,42"
14,Sapato Social,Feminino,Prada,"Marrom,Vinho","35,36,37"
15,Tenis Corrida,Masculino,Nike,"Cinza,Preto","39,40,41,42"
16,Tenis Corrida,Feminino,Adidas,"Rosa,Branco","36,37,38,39"
17,Chinelo,Masculino,Havaianas,"Azul,Verde","39,40,41"
18,Chinelo,Feminino,Havaianas,"Vermelho,Amarelo","36,37,38"
19,Sapato Social,Masculino,Gucci,"Preto","41,42,43"
20,Tenis Corrida,Feminino,Puma,"Branco,Lilas","37,38,39"
21,Tenis Casual,Masculino,Adidas,"Azul,Preto","40,41,42"
22,Tenis Casual,Feminino,Nike,"Vermelho,Rosa","36,37,38"
23,Sapato Social,Masculino,Calvin Klein,"Preto,Marrom","39,40,41"
24,Sapato Social,Feminino,Christian Louboutin,"Bege,Preto","36,37,38"
25,Tenis Corrida,Masculino,New Balance,"Preto,Cinza","42,43,44"
26,Tenis Corrida,Feminino,Asics,"Lilás,Branco","35,36,37"
27,Chinelo,Masculino,Havaianas,"Amarelo,Azul","41,42,43"
28,Chinelo,Feminino,Havaianas,"Rosa,Branco","38,39,40"
29,Sapato Social,Masculino,Tommy Hilfiger,"Preto,Bege","42,43,44"
30,Tenis Casual,Feminino,Adidas,"Cinza,Preto","37,38,39"
